Date,Close,High,Low,Open,Volume,Year,Month,Day,MA5,MA10,MA20,RSI,MACD,Signal_Line,MACD_Histogram,VWAP,SMA,Std_dev,Upper_band,Lower_band,Relative_Performance,ROC,ATR,Close_yes,Open_yes,High_yes,Low_yes
2020-01-31,155.36497497558594,159.57154527237353,153.6787556619168,159.57154527237353,5500000,2020.0,1.0,31.0,157.8835693359375,160.20750122070314,160.50080032348632,39.41848274043058,-1.1476446872528072,-0.6436804524972722,-0.503964234755535,159.94372662711103,160.16131286621095,2.406538559479801,164.97438998517055,155.34823574725135,52.242979855306125,-2.8709358560818465,2.7016628702031205,159.95724487304688,155.88522046627256,160.3429288805597,155.88522046627256
2020-02-03,153.66087341308594,157.5176318282473,153.07786518138073,156.47721142442415,3542700,2020.0,2.0,3.0,157.18216247558593,159.3966812133789,160.16131286621095,30.187264141355968,-1.490966114872066,-0.813137584972231,-0.6778285298998349,159.56033560699217,159.82317276000975,2.809169508396868,165.44151177680348,154.20483374321603,51.28896233339765,-1.0968376641954047,2.848376520272463,155.36497497558594,159.57154527237353,159.57154527237353,153.6787556619168
2020-02-04,157.14988708496094,157.9122634342192,156.06460421771692,156.13635970105165,2992500,2020.0,2.0,4.0,156.783935546875,158.3284439086914,159.82317276000975,40.70264934845407,-1.4646331955652556,-0.943436707090836,-0.5211964884744196,159.44217984959516,159.72002487182618,2.869975239353194,165.45997535053257,153.9800743931198,51.66607570846757,2.270593414170885,3.0392901824918703,153.66087341308594,156.47721142442415,157.5176318282473,153.07786518138073
2020-02-05,158.66567993164062,159.32044360320467,157.32029537477777,158.67465792103374,2818100,2020.0,2.0,5.0,156.7390869140625,157.8154067993164,159.72002487182618,43.52817531408755,-1.3063930665091732,-1.0160279789745037,-0.2903650875346697,159.4079171185281,159.68818283081055,2.878371751590884,165.44492633399233,153.93143932762877,51.56890097383823,0.9645522976801102,3.0283993809902308,157.14988708496094,156.13635970105165,157.9122634342192,156.06460421771692
2020-02-06,158.1724090576172,159.65232683762625,158.00199146281193,159.65232683762625,2427500,2020.0,2.0,6.0,156.95973205566406,157.53287200927736,159.68818283081055,39.67155036007799,-1.2068773306579033,-1.0541978493111834,-0.1526794813467198,159.36267655797002,159.624951171875,2.8980028381287197,165.42095684813245,153.82894549561755,51.236169281431344,-0.3108869380170631,3.0335265110282665,158.66567993164062,158.67465792103374,159.32044360320467,157.32029537477777
2020-02-07,157.21267700195312,158.50424843211886,156.6924599711386,157.72392972887712,3254500,2020.0,2.0,7.0,156.60276489257814,157.2431671142578,159.624951171875,36.154586852888286,-1.191715395834137,-1.0817013586157742,-0.1100140372183631,159.2620685892594,159.45498504638672,2.9364946979945707,165.32797444237588,153.58199565039757,51.19815455694876,-0.6067632537065659,3.047617160711212,158.1724090576172,159.65232683762625,159.65232683762625,158.00199146281193
2020-02-10,158.71054077148438,158.86301605709494,156.16328243664813,156.88978796230575,2399700,2020.0,2.0,10.0,156.97230529785156,157.07723388671874,159.45498504638672,42.91315851175269,-1.0467678767266193,-1.074714662237943,0.027946785511324,159.24367349464583,159.37739944458008,2.9345415372549057,165.24648251908988,153.50831637007028,51.30298305676632,0.9527627148748552,3.0591485965335283,157.21267700195312,157.72392972887712,158.50424843211886,156.6924599711386
2020-02-11,160.6837615966797,161.39233848206277,158.9347643573795,159.87653631268262,2948500,2020.0,2.0,11.0,157.98223876953125,157.38308715820312,159.37739944458008,48.46931955677536,-0.763868097903412,-1.012545349371037,0.2486772514676249,159.30036594026583,159.28232498168944,2.854863209720508,164.99205140113045,153.57259856224843,51.850954069833,1.2432827810954228,3.1180886025031924,158.71054077148438,156.88978796230575,158.86301605709494,156.16328243664813
2020-02-12,162.50450134277344,162.9170919414776,160.5940646736617,160.9797349914871,2950800,2020.0,2.0,12.0,158.689013671875,157.71405029296875,159.28232498168944,52.58392317164776,-0.3882737262264584,-0.8876910247421214,0.4994172985156629,159.42181767815111,159.3150619506836,2.8893988506517783,165.09385965198717,153.53626424938005,52.10280174937982,1.1331199419290838,3.1872799069848514,160.6837615966797,159.87653631268262,161.39233848206277,158.9347643573795
2020-02-13,161.5537872314453,162.2982350598426,160.27119374516755,161.7421471075779,1985700,2020.0,2.0,13.0,159.45677795410157,158.2082550048828,159.3150619506836,55.05576928940829,-0.1654203017282043,-0.743236880139338,0.5778165784111337,159.4748461265986,159.2877052307129,2.8641136919450045,165.01593261460292,153.5594778468229,51.85329336537118,-0.5850386318362766,3.105273979828472,162.50450134277344,160.9797349914871,162.9170919414776,160.5940646736617
2020-02-14,162.1726837158203,163.11445582528668,161.4282358078026,161.90360401512106,2489000,2020.0,2.0,14.0,160.1330535888672,158.36790924072267,159.2877052307129,63.629689023950725,0.0604357509966746,-0.5825023539121355,0.6429381049088101,159.5564144657858,159.2226806640625,2.77754318686561,164.77776703779372,153.66759429033127,51.96868993893814,0.3830900500576772,2.9912340730304203,161.5537872314453,161.7421471075779,162.2982350598426,160.27119374516755
2020-02-18,160.92593383789062,161.88564808167936,160.50437890466975,161.5358486355982,1818600,2020.0,2.0,18.0,161.12505493164062,159.0486801147461,159.2226806640625,57.57460187709523,0.1372439416329314,-0.4385530948031221,0.5757970364360535,159.58601480343384,159.05181503295898,2.541002215966124,164.13381946489125,153.96981060102672,51.70240663488699,-0.7687792107543889,2.8855276241079486,162.1726837158203,161.90360401512106,163.11445582528668,161.4282358078026
2020-02-19,162.2174835205078,162.9529532148122,160.9976677743336,161.29365398693005,2464500,2020.0,2.0,19.0,161.56813354492186,159.77518615722656,159.05181503295898,59.48121112066951,0.2988868697574673,-0.2910651018910042,0.5899519716484716,159.6608973418029,159.04867630004884,2.536839805370905,164.12235591079065,153.97499668930703,51.86935039171268,0.8025739865634263,2.884246074961325,160.92593383789062,161.5358486355982,161.88564808167936,160.50437890466975
2020-02-20,162.0740203857422,163.428383184136,160.5582179797306,162.28030889079665,2336800,2020.0,2.0,20.0,161.8748779296875,160.28194580078124,159.04867630004884,54.74669143032723,0.4106797187084225,-0.1507161377711189,0.5613958564795415,159.72429769516688,159.07782592773438,2.5695197132553607,164.2168653542451,153.93878650122366,52.0372541421117,-0.0884387623652727,2.770850131398344,162.2174835205078,161.29365398693005,162.9529532148122,160.9976677743336
2020-02-21,161.3385467529297,162.33413203482723,160.32501917527892,161.09637366112713,1940400,2020.0,2.0,21.0,161.78878173828124,160.6227798461914,159.07782592773438,66.19680899478868,0.4349163365657773,-0.0335896429037396,0.468505979469517,159.75876280215272,159.09128036499024,2.5811751653358894,164.25363069566205,153.92893003431846,52.34013524354302,-0.4537887263251994,2.4658946777139312,162.0740203857422,162.28030889079665,163.428383184136,160.5582179797306
2020-02-24,157.2037353515625,159.08726588700944,155.58030652602412,156.45928744256605,3204300,2020.0,2.0,24.0,161.74573364257813,160.93939361572265,159.09128036499024,58.48740441914549,0.1191063232502074,-0.0030504496729502,0.1221567729231576,159.6717469863996,159.00786666870118,2.615363806051248,164.23859428080368,153.77713905659868,52.748166909112726,-2.5628168125867323,2.560071362002432,161.3385467529297,161.09637366112713,162.33413203482723,160.32501917527892
2020-02-25,150.5037078857422,158.3517854784109,149.63369133202087,157.53558212414268,4092200,2020.0,2.0,25.0,160.75194396972657,160.9384994506836,159.00786666870118,36.20111540698669,-0.6641556368573731,-0.1352714871098348,-0.5288841497475383,159.28961540270984,158.75045166015624,3.159747731196343,165.06994712254894,152.43095619776355,52.07811148338132,-4.262002713126833,2.87912165666363,157.2037353515625,156.45928744256605,159.08726588700944,155.58030652602412
2020-02-26,149.94757080078125,154.3425014260012,149.5798427960696,151.2122354330111,3411700,2020.0,2.0,26.0,158.66749877929686,160.11781616210936,158.75045166015624,31.14811867232075,-1.314617901418785,-0.3711407699716249,-0.9434771314471602,158.9758846372353,158.37912368774414,3.717206579273591,165.81353684629133,150.94471052919695,52.077230386335295,-0.3695171984620771,3.0642718074984776,150.5037078857422,157.53558212414268,158.3517854784109,149.63369133202087
2020-02-27,143.87864685058594,150.44358795622392,143.8515946181206,146.99879024857597,3951300,2020.0,2.0,27.0,156.21351623535156,159.04419708251953,158.37912368774414,25.09650292539446,-2.2933886186671657,-0.7555903397107331,-1.5377982789564326,158.4106737298996,157.6949333190918,4.935208738651173,167.56535079639414,147.82451584178946,52.31922345060048,-4.0473639671418375,3.417247376304835,149.94757080078125,151.2122354330111,154.3425014260012,149.5798427960696
