Date,Close,High,Low,Open,Volume,Year,Month,Day,MA5,MA10,MA20,RSI,MACD,Signal_Line,MACD_Histogram,VWAP,SMA,Std_dev,Upper_band,Lower_band,Relative_Performance,ROC,ATR,Close_yes,Open_yes,High_yes,Low_yes
2020-01-31,28.809656143188477,29.108016698724807,28.651698585815517,29.02026398798487,54845300,2020.0,1.0,31.0,29.15540199279785,29.686314392089844,30.191339111328126,31.237683185592047,-0.5369900006586406,-0.4106490581538115,-0.126340942504829,30.11820847910027,30.068044662475582,0.7075667377762368,31.48317813802806,28.652911186923117,9.687526328011856,-1.9414347599601367,0.5515963408367524,29.380050659179688,28.69557025406706,29.41515307676259,28.66924176710449
2020-02-03,28.93250846862793,29.30985111377162,28.888628769966235,28.958833609784136,48485500,2020.0,2.0,3.0,29.0307918548584,29.52045993804932,30.068044662475582,28.716796178135297,-0.5485325785580137,-0.4382257622346519,-0.1103068163233618,30.06311994116381,29.98336172103882,0.737951668660417,31.45926505835965,28.507458383717985,9.657099456079196,0.4264276006241019,0.5616251638971066,28.80965614318848,29.02026398798487,29.108016698724807,28.65169858581552
2020-02-04,29.502912521362305,29.748626153093838,29.423933737511376,29.450262230496055,45061600,2020.0,2.0,4.0,29.051852416992187,29.36776733398437,29.98336172103882,33.96222004596389,-0.5058225077076877,-0.4517451113292591,-0.0540773963784285,30.039931539305925,29.92939348220825,0.7312844068170077,31.391962295842266,28.46682466857424,9.699655152312705,1.9714987843272305,0.5816836633456083,28.93250846862793,28.958833609784136,29.30985111377162,28.888628769966235
2020-02-05,30.459434509277344,30.547190580939223,29.89780904084872,29.92413418857136,54604800,2020.0,2.0,5.0,29.11854667663574,29.31160507202149,29.92939348220825,50.34854031113221,-0.3902920941000118,-0.4394545078834097,0.0491624137833978,30.05996824337986,29.933343029022215,0.7340567207753812,31.40145647057298,28.465229587471452,9.899806704290295,3.242127322929367,0.5948467790077101,29.502912521362305,29.45026223049605,29.74862615309384,29.423933737511376
2020-02-06,30.4243221282959,30.72268597924266,30.36289457200251,30.661258422949274,39511500,2020.0,2.0,6.0,29.416912460327147,29.342320060729985,29.933343029022215,49.563683606604016,-0.2981300272879643,-0.4111896117643207,0.1130595844763563,30.07213994567333,29.920179748535155,0.7220823714776746,31.364344491490503,28.476015005579807,9.85523156741158,-0.1152758793691699,0.5961001985680833,30.459434509277344,29.92413418857136,30.547190580939223,29.89780904084872
2020-02-07,30.371673583984375,30.415549934191574,30.046984575389963,30.117186066211296,31263000,2020.0,2.0,7.0,29.62576675415039,29.39058437347412,29.920179748535155,49.13487926440295,-0.2267256704738862,-0.3742968235062338,0.1475711530323475,30.07985342534568,29.90175142288208,0.7045420953132457,31.31083561350857,28.492667232255588,9.89089218477408,-0.1730475508690432,0.6011142216693075,30.4243221282959,30.661258422949278,30.72268597924266,30.36289457200251
2020-02-10,30.441883087158203,30.441883087158203,30.169847635742833,30.222497930828737,24373800,2020.0,2.0,10.0,29.93817024230957,29.484481048583984,29.90175142288208,53.97418534212437,-0.1625975596629629,-0.3319569707375797,0.1693594110746167,30.08697881401123,29.89955778121948,0.7026939304391722,31.304945642097827,28.494169920341136,9.840300490722925,0.2311677128350675,0.58983115083629,30.37167358398437,30.117186066211296,30.41554993419157,30.046984575389963
2020-02-11,30.5120849609375,30.74902130831502,30.50330768091343,30.5822864633726,32476300,2020.0,2.0,11.0,30.240045166015623,29.645948791503905,29.89955778121948,53.80343415793933,-0.1049016246843947,-0.2865459015269427,0.1816442768425479,30.09784213716814,29.88683357238769,0.6883251672560767,31.263483906899847,28.51018323787554,9.845927803554131,0.2306094980336848,0.5979795999733933,30.441883087158203,30.222497930828737,30.441883087158203,30.169847635742837
2020-02-12,30.643709182739258,31.1088078714012,30.52085406226096,30.784118860486988,36656700,2020.0,2.0,12.0,30.441879653930663,29.780213165283204,29.88683357238769,57.54715510969709,-0.0480028587918219,-0.2388372929799185,0.1908344341880966,30.11314559516892,29.86928253173828,0.6625828490727663,31.19444822988381,28.54411683359275,9.825100789338322,0.4313838991018448,0.6011136750948928,30.5120849609375,30.5822864633726,30.74902130831502,30.50330768091343
2020-02-13,30.634937286376953,30.740241204130893,30.319022185563938,30.50330487852113,31775100,2020.0,2.0,13.0,30.47873458862305,29.947823524475098,29.86928253173828,64.48205650877472,-0.0035767648958646,-0.1917851873631078,0.1882084224672431,30.125525164473935,29.879813289642332,0.6734531952687303,31.226719680179794,28.53290689910488,9.83277716705274,-0.0286254392704021,0.5766679452086494,30.643709182739254,30.784118860486988,31.1088078714012,30.52085406226096
2020-02-14,30.582277297973633,30.67880726399977,30.450648265024757,30.608605782603803,26447700,2020.0,2.0,14.0,30.52085762023926,30.073312187194823,29.879813289642332,74.39010361307183,0.0270699678838468,-0.1480141563137169,0.1750841241975637,30.1343701545308,29.885517120361328,0.6791577679696997,31.24383265630073,28.527201584421928,9.800176269574656,-0.1718952055003497,0.5258961470730148,30.634937286376957,30.50330487852113,30.740241204130893,30.319022185563934
2020-02-18,30.073314666748047,30.564738573600565,29.845152252028434,30.512084936153386,40318000,2020.0,2.0,18.0,30.56297836303711,30.25057430267334,29.885517120361328,62.004764515204,0.0101714435777715,-0.1163770363354192,0.1265484799131907,30.13261943158812,29.866211128234863,0.6673704299462835,31.20095198812743,28.531470268342296,9.661977449361366,-1.6642404562177917,0.5384321759601026,30.582277297973636,30.608605782603803,30.67880726399977,30.45064826502476
