Date,Close,High,Low,Open,Volume,Year,Month,Day,MA5,MA10,MA20,RSI,MACD,Signal_Line,MACD_Histogram,VWAP,SMA,Std_dev,Upper_band,Lower_band,Relative_Performance,ROC,ATR,Close_yes,Open_yes,High_yes,Low_yes
2020-01-31,209.32611083984375,213.85160434964092,208.56012684686578,213.0592080420461,3482800,2020.0,1.0,31.0,212.52037353515624,215.2163055419922,212.9927436828613,44.56089054239754,1.0793415393673342,1.8300396930457536,-0.7506981536784194,212.8000453250378,213.1437385559082,4.409641138963149,221.9630208338345,204.3244562779819,70.38793520556347,-2.613369127341447,4.749386041505569,214.94337463378903,209.273297913518,215.1282608464462,208.428063494878
2020-02-03,210.43548583984375,213.41139892299034,209.59026483279632,209.8632010628751,2733000,2020.0,2.0,3.0,211.7860809326172,214.1624099731445,213.1437385559082,41.89331643770553,0.793003693529613,1.6226324931425258,-0.8296287996129128,212.7121995259301,213.470825958252,3.9006487975756494,221.27212355340328,205.66952836310065,70.23920577254009,0.529974495560559,4.789635405991665,209.32611083984372,213.0592080420461,213.8516043496409,208.56012684686576
2020-02-04,213.01522827148438,214.60003465773883,212.67185467400822,213.8428501306699,3052500,2020.0,2.0,4.0,211.9392822265625,213.24234161376955,213.470825958252,45.43228624240239,0.7654192653428709,1.451189847582595,-0.6857705822397242,212.7242724867418,213.82256546020508,3.4846536279036284,220.79187271601236,206.85325820439783,70.03289098757644,1.2259065629282695,4.8405783187188165,210.43548583984372,209.8632010628751,213.41139892299037,209.59026483279632
2020-02-05,215.0930633544922,215.82383549612646,213.94848032019098,215.7005735345584,3126600,2020.0,2.0,5.0,211.82659606933595,212.9112991333008,213.82256546020508,48.93269647861185,0.9008380331818556,1.3411194847024472,-0.4402814515205915,212.81714830673897,214.21040115356445,3.139294623873882,220.4889904013122,207.9318119058167,69.90870923734884,0.9754396903303376,4.390920828679804,213.0152282714844,213.8428501306699,214.60003465773883,212.67185467400824
2020-02-06,212.90956115722656,216.38732185258155,212.34606254749272,216.01753596585345,2225600,2020.0,2.0,6.0,212.56265258789065,212.6691772460937,214.21040115356445,40.27099063288632,0.822486886456943,1.2373929650533466,-0.4149060785964036,212.81965746614432,214.38913269042968,2.942710123519768,220.2745529374692,208.50371244339013,68.96696068600205,-1.01514300982688,4.389663640006471,215.0930633544922,215.7005735345584,215.8238354961265,213.94848032019095
2020-02-07,209.5461883544922,211.76491646344692,208.26954409554347,211.0869691512164,3006500,2020.0,2.0,7.0,212.15588989257813,212.3381317138672,214.38913269042968,37.02443207349833,0.4834243469362889,1.086599241429935,-0.6031748944936461,212.70383996417104,214.1866256713867,3.133324318597848,220.4532743085824,207.91997703419105,68.2411771288616,-1.5797190057851074,4.566385994387462,212.90956115722656,216.01753596585343,216.38732185258155,212.34606254749272
2020-02-10,208.98277282714844,209.4317956864808,207.30992992261127,209.01798477443953,2591300,2020.0,2.0,10.0,212.1999053955078,211.9929931640625,214.1866256713867,39.8392602186355,0.1673231203792227,0.9027440172197926,-0.7354208968405699,212.59372553452604,213.97752151489257,3.337965694179509,220.6534529032516,207.30159012653357,67.5534189562384,-0.2688741473982903,4.483364959047852,209.5461883544922,211.0869691512164,211.76491646344687,208.26954409554347
2020-02-11,208.19036865234375,210.91094489548954,207.97905667280514,210.42669667230507,2238800,2020.0,2.0,11.0,211.90936279296875,211.92432250976563,213.97752151489257,36.95495123146736,-0.1454530809861864,0.6931045975785968,-0.8385576785647832,212.48395284266687,213.59232711791992,3.543326232177861,220.67897958227564,206.5056746535642,67.18083479940972,-0.3791720073788585,4.515436516964562,208.98277282714844,209.01798477443955,209.4317956864808,207.30992992261127
2020-02-12,210.1185302734375,212.3460586149217,209.29972156110634,209.55504510868548,2119200,2020.0,2.0,12.0,210.94439086914065,211.38549346923827,213.59232711791992,41.61221533402668,-0.2350346127836644,0.5074767555061446,-0.742511368289809,212.42942145234247,213.2837310791016,3.564671804680467,220.4130746884625,206.1543874697406,67.36899000487179,0.926153132623342,4.550023785167432,208.19036865234372,210.42669667230507,210.91094489548956,207.97905667280517
2020-02-13,209.85440063476562,210.4002730928404,208.28720714873847,209.41417744353225,1461300,2020.0,2.0,13.0,209.9494842529297,211.25606842041012,213.2837310791016,45.29647434799665,-0.3236112870741863,0.3412591469900784,-0.6648704340642647,212.389127813004,212.98173828125,3.5876417065101163,220.1570216942702,205.80645486822976,67.35615417383791,-0.1257050667202719,4.379594119093994,210.1185302734375,209.55504510868548,212.3460586149217,209.29972156110637
