Date,Close,High,Low,Open,Volume,Year,Month,Day,MA5,MA10,MA20,RSI,MACD,Signal_Line,MACD_Histogram,VWAP,SMA,Std_dev,Upper_band,Lower_band,Relative_Performance,ROC,ATR,Close_yes,Open_yes,High_yes,Low_yes
2020-01-31,37.644989013671875,38.47302257285147,37.47938363181272,38.45558990240178,24008300,2020.0,1.0,31.0,38.36669692993164,39.6453556060791,39.579335594177245,39.86400316820376,-0.3429257234806186,-0.0399490537230319,-0.3029766697575867,39.46174426771937,39.4936243057251,1.1398972106452534,41.7734187270156,37.2138298844346,12.658492707275403,-2.152254039052015,0.8435972607439116,38.473026275634766,37.36607653260717,38.516606293482326,37.21790380693702
2020-02-03,37.18303680419922,38.045935748838644,37.14817146149939,37.967490390235064,26383600,2020.0,2.0,3.0,38.12264175415039,39.32459983825684,39.4936243057251,31.615832643616898,-0.4587570358077855,-0.1237106501399827,-0.3350463856678027,39.33873913306644,39.40043067932129,1.2492841457696633,41.89899897086062,36.90186238778196,12.410962737177195,-1.2271280230813364,0.847333059479304,37.64498901367188,38.45558990240178,38.47302257285147,37.47938363181272
2020-02-04,38.595062255859375,38.80425105390125,37.810611744324426,37.91520448087379,28143200,2020.0,2.0,4.0,37.88904724121094,38.90273742675781,39.40043067932129,41.1883188489858,-0.4316398566062318,-0.1852964914332325,-0.2463433651729993,39.29824939140166,39.39258651733398,1.2540536651620748,41.90069384765813,36.88447918700983,12.688875859046536,3.797499002288829,0.9183081464364058,37.18303680419922,37.96749039023506,38.04593574883864,37.14817146149939
2020-02-05,38.865264892578125,39.34465188441318,38.76938682922246,38.91756292484755,20332100,2020.0,2.0,5.0,37.930885314941406,38.639509963989255,39.39258651733398,41.5415605740131,-0.383920604369834,-0.2250213140205528,-0.1588992903492811,39.28186287453436,39.37776908874512,1.2586686727598844,41.89510643426489,36.86043174322535,12.631836938088044,0.7000963877904498,0.9382308148726568,38.595062255859375,37.91520448087379,38.80425105390125,37.810611744324426
2020-02-06,38.873966217041016,39.27491101017702,38.60376812214352,39.013424263584206,15222400,2020.0,2.0,6.0,38.15227584838867,38.39110107421875,39.37776908874512,37.938213088243295,-0.3414644395053088,-0.248309939117504,-0.0931545003878047,39.27062378984992,39.34333953857422,1.2627591454590936,41.868857829492406,36.81782124765604,12.592291699947648,0.0223884347294145,0.9463239231039152,38.865264892578125,38.91756292484755,39.34465188441318,38.76938682922246
2020-02-07,38.99599838256836,39.09187309657149,38.58633887978016,38.8042423046773,14104200,2020.0,2.0,7.0,38.23246383666992,38.29958038330078,39.34333953857422,34.52904897184156,-0.2945749701875542,-0.2575629453315141,-0.0370120248560401,39.263787214789424,39.30978221893311,1.2626189720411525,41.835020163015415,36.7845442748508,12.699504838712564,0.3139174553119073,0.9282690078996458,38.873966217041016,39.013424263584206,39.27491101017702,38.60376812214352
2020-02-10,38.92626953125,38.98728222711078,38.57762270495191,38.90883685744084,15016100,2020.0,2.0,10.0,38.50266571044922,38.31265373229981,39.30978221893311,34.99990799182967,-0.2600436422496059,-0.2580590847151325,-0.0019845575344734,39.25507271271595,39.29583625793457,1.2653724039766905,41.82658106588795,36.76509144998119,12.58286775734839,-0.1788102733882746,0.913949723263942,38.99599838256836,38.8042423046773,39.09187309657149,38.58633887978016
2020-02-11,39.03958511352539,39.09187981652712,38.664790892279186,39.06573246502625,11075700,2020.0,2.0,11.0,38.851312255859376,38.37017974853516,39.29583625793457,34.926085809172434,-0.220986303059739,-0.2506445283840538,0.0296582253243148,39.25104564077047,39.25181999206543,1.2578098454014224,41.76743968286827,36.736200301262585,12.597662106689,0.2911031127306396,0.9176850630961776,38.92626953125,38.90883685744084,38.98728222711078,38.57762270495191
2020-02-12,40.111663818359375,40.216256533840586,39.14417205656639,39.20518475100897,23638000,2020.0,2.0,12.0,38.940216827392575,38.43555107116699,39.25181999206543,52.24783124527709,-0.1023455132454884,-0.2209847253563407,0.1186392121108523,39.28405461013381,39.25138397216797,1.2574943827079708,41.76637273758392,36.73639520675203,12.86075185915882,2.746132423580905,0.8815752077890261,39.03958511352539,39.06573246502625,39.09187981652712,38.66479089227919
2020-02-13,40.15525436401367,40.39930520574924,39.824040132413,40.00708158865803,17913100,2020.0,2.0,13.0,39.18949661254883,38.67088623046875,39.25138397216797,60.24930789901357,-0.0047496883730602,-0.1777377179596846,0.1729880295866244,39.3086614642012,39.24223232269287,1.2498104698293877,41.74185326235165,36.742611383034095,12.888476465830692,0.1086729931016883,0.8330139662562007,40.111663818359375,39.20518475100897,40.216256533840586,39.14417205656639
2020-02-14,40.17268753051758,40.251132919878444,39.87633865125912,40.163972853896766,15930600,2020.0,2.0,14.0,39.44575424194336,38.83910903930664,39.24223232269287,65.7143252023103,0.0731590844346925,-0.1275583574808092,0.2007174419155017,39.32983299974842,39.20823936462402,1.2123926344554197,41.63302463353486,36.78345409571318,12.873450043816796,0.0434144093469646,0.8006397124563642,40.15525436401367,40.00708158865803,40.39930520574924,39.824040132413
2020-02-18,40.22499465942383,40.43418019505136,39.928645713164705,40.2162766558886,13694500,2020.0,2.0,18.0,39.6810920715332,39.09187889099121,39.20823936462402,65.81720330625365,0.1375376479497063,-0.0745391563947061,0.2120768043444124,39.34829964879285,39.149406051635744,1.1258093729607894,41.40102479755732,36.89778730571417,12.923516932098162,0.1302056997469103,0.7987720600291307,40.17268753051758,40.163972853896766,40.25113291987845,39.87633865125912
2020-02-19,40.06809616088867,40.32086169088404,39.97221809005369,40.28599965826145,14814400,2020.0,2.0,19.0,39.94083709716797,39.39607467651367,39.149406051635744,71.61497601096642,0.173893193293992,-0.0248526864569665,0.1987458797509585,39.36401227977751,39.09144401550293,1.0397492400793995,41.17094249566173,37.01194553534413,12.81185032706557,-0.3900522544840079,0.7545688462599591,40.22499465942383,40.2162766558886,40.43418019505136,39.92864571316471
2020-02-20,40.111663818359375,40.22497453301379,39.65842428468417,39.91990773585843,12037800,2020.0,2.0,20.0,40.14653930664063,39.54337806701661,39.09144401550293,67.53727230193769,0.2038706765010616,0.0208919861346391,0.1829786903664225,39.3770429127742,39.02955951690674,0.9292495340590474,40.88805858502483,37.17106044878864,12.87868863381719,0.1087340344192,0.7022722578159813,40.06809616088867,40.28599965826145,40.32086169088404,39.97221809005369
2020-02-21,39.93735122680664,40.46031827080749,39.79789312674352,39.885053192429204,21235400,2020.0,2.0,21.0,40.14653930664063,39.66801795959473,39.02955951690674,78.52511978643031,0.2111287181320165,0.0589393325341146,0.1521893855979019,39.39375594620443,39.03696842193604,0.9361894868382687,40.90934739561258,37.1645894482595,12.95614970228422,-0.4345683398776168,0.6786138649761193,40.111663818359375,39.91990773585843,40.22497453301379,39.65842428468417
2020-02-24,38.873966217041016,40.10294129124726,38.760658840122375,39.3272056995419,21720800,2020.0,2.0,24.0,40.10295867919922,39.77435646057129,39.03696842193604,68.30176838054658,0.1295807588800173,0.0730676178032951,0.0565131410767221,39.378366640446906,39.03740348815918,0.936107511291131,40.90961851074144,37.16518846557692,13.043776942386174,-2.662632791360142,0.7103651623893786,39.93735122680664,39.8850531924292,40.46031827080749,39.79789312674352
2020-02-25,37.627559661865234,39.12673620334223,37.50553428289705,39.00471082437405,22440600,2020.0,2.0,25.0,39.84321441650391,39.76215324401856,39.03740348815918,39.13885056171788,-0.0352152393386262,0.0514110463749108,-0.0866262857135371,39.32640256522348,39.001231002807614,0.9771064138262732,40.95544383046016,37.04701817515507,13.020092823266832,-3.2062757584776613,0.7103642817281752,38.873966217041016,39.3272056995419,40.10294129124726,38.760658840122375
2020-02-26,36.799537658691406,38.50789999963525,36.77338698233841,38.50789999963525,30526000,2020.0,2.0,26.0,39.323727416992185,39.63228225708008,39.001231002807614,29.391280917759676,-0.2299806371780519,-0.0048672903356816,-0.2251133468423702,39.228342323946336,38.92191429138184,1.087802368394602,41.09751902817104,36.74630955459264,12.780587178090578,-2.200573225090152,0.7807159523526777,37.627559661865234,39.00471082437405,39.12673620334223,37.50553428289705
2020-02-27,35.77975082397461,37.130751737740965,35.727456116631636,36.48575929759389,36098100,2020.0,2.0,27.0,38.67001571655273,39.40827751159668,38.92191429138184,24.312762769039395,-0.4613042646116767,-0.0961546851908807,-0.365149579420796,39.07702773617424,38.82298622131348,1.2733390024465536,41.36966422620659,36.27630821642037,13.010747733194366,-2.7711946931918585,0.8330125761438083,36.799537658691406,38.50789999963525,38.50789999963525,36.77338698233841
2020-02-28,35.239349365234375,35.71873633330491,33.96679390091824,34.864555131574505,62186700,2020.0,2.0,28.0,37.80363311767578,38.9750862121582,38.82298622131348,20.839060698322967,-0.6803926444707287,-0.2130022770468503,-0.4673903674238783,38.807331500783626,38.661302375793454,1.5044425427188757,41.67018746123121,35.6524172903557,12.86830570571561,-1.5103555678709024,0.9263999123055966,35.77975082397461,36.48575929759389,37.130751737740965,35.72745611663164
2020-03-02,37.06101608276367,37.06973075706173,34.34158218464682,35.160897891306846,40006900,2020.0,3.0,2.0,36.86403274536133,38.48349571228027,38.661302375793454,38.61702558582284,-0.6989711794921973,-0.3101960575359197,-0.3887751219562776,38.731794030930445,38.63210372924805,1.5306443788042636,41.693392486856574,35.570814971639514,12.97175842328478,5.169410759117121,1.0913836905054863,35.239349365234375,34.864555131574505,35.71873633330491,33.96679390091824
2020-03-03,36.119667053222656,37.87161228350358,35.82331829075903,36.66878456233451,43253400,2020.0,3.0,3.0,36.50144271850586,38.17232856750488,38.63210372924805,33.8163650625514,-0.780654898124908,-0.4042878256537173,-0.3763670724711906,38.6150942603592,38.57893524169922,1.6005028389020866,41.7799409195034,35.377929563895044,13.014925437142852,-2.539997898165613,1.2071840525409587,37.06101608276367,35.160897891306846,37.06973075706173,34.34158218464682
2020-03-04,37.0435791015625,37.09587711609681,36.17196547564338,36.581624943806844,24996900,2020.0,3.0,4.0,36.19986419677734,37.76179580688476,38.57893524169922,32.71119606330829,-0.7620533758399546,-0.4758409356909648,-0.2862124401489897,38.57554035232554,38.50136108398438,1.6368660815059068,41.77509324699619,35.22762892097256,12.8094137441568,2.557919614758486,1.192865384152313,36.119667053222656,36.66878456233451,37.87161228350358,35.82331829075903
2020-03-05,35.535701751708984,36.41603039337561,35.23063486899581,36.10224883398761,25284600,2020.0,3.0,5.0,36.24867248535156,37.45934410095215,38.50136108398438,27.65595962607773,-0.8590816768774943,-0.5524890839282708,-0.3065925929492235,38.50007058719344,38.33488292694092,1.7624099912015936,41.85970290934411,34.810062944537734,12.710522825662196,-4.070549840012394,1.2812710383830594,37.0435791015625,36.58162494380685,37.09587711609681,36.17196547564338
2020-03-06,35.187042236328125,35.38751297750057,33.84475973782817,33.9144871010897,31302100,2020.0,3.0,6.0,36.19986267089844,37.00174789428711,38.33488292694092,26.633918511730087,-0.9531241911466708,-0.6326161053719508,-0.32050808577472,38.401279494082736,38.15053672790528,1.89117493919982,41.93288660630492,34.36818684950563,12.797367203656137,-0.981152751159875,1.375281591616023,35.535701751708984,36.10224883398761,36.41603039337561,35.23063486899581
2020-03-09,33.0167236328125,33.89705189340844,32.3804461127893,33.26948904628771,46926200,2020.0,3.0,9.0,36.18940124511719,36.526716995239255,38.15053672790528,21.813103590448577,-1.1890732383200913,-0.7439075319615789,-0.4451657063585124,38.1708746068455,37.85157299041748,2.198180533767802,42.24793405795309,33.45521192288187,13.025231380457193,-6.167948385485278,1.5396431374483208,35.187042236328125,33.9144871010897,35.38751297750057,33.84475973782817
2020-03-10,34.08009719848633,34.123680547095795,31.962075463842165,33.67915566084359,48724300,2020.0,3.0,10.0,35.38054275512695,35.940992736816405,37.85157299041748,28.134879377570652,-1.2755553898316163,-0.8502371035355865,-0.4253182862960301,37.99685478694852,37.6092643737793,2.3362446609663463,42.28175369571199,32.9367750518466,12.78326708390926,3.220711956461453,1.6691403861928409,33.0167236328125,33.26948904628771,33.89705189340844,32.3804461127893
2020-03-11,33.042884826660156,33.54842251539482,32.58093049553207,32.94700675983508,38865100,2020.0,3.0,11.0,34.97262878417969,35.58624649047852,37.6092643737793,25.93473394725126,-1.4115164055509195,-0.9624929639386532,-0.4490234416122665,37.834274263300784,37.30942935943604,2.520554734632177,42.3505388287004,32.26831989017168,13.029377099074418,-3.0434548522128013,1.7357558472374577,34.08009719848633,33.67915566084359,34.123680547095795,31.962075463842165
